id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
11,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,0
12,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,0
17,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,0
26,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,0
33,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,0
39,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,0
40,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,0
46,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,0
54,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,0
61,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,0
81,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,0
84,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,1
87,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,1
93,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,0
108,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,0
117,41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,0
123,34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,0
127,29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,0
132,32,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,0
134,55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,0
166,26,admin.,single,secondary,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,0
169,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,1
175,60,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,130,1,-1,0,unknown,0
176,53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,0
185,36,admin.,married,tertiary,no,211,yes,no,unknown,5,may,146,2,-1,0,unknown,0
194,42,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,0
201,47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,0
237,53,admin.,divorced,secondary,no,315,yes,no,unknown,5,may,181,2,-1,0,unknown,0
239,44,admin.,divorced,secondary,no,66,yes,no,unknown,5,may,206,1,-1,0,unknown,0
243,38,admin.,married,secondary,no,0,no,no,unknown,5,may,151,1,-1,0,unknown,0
251,49,admin.,married,secondary,no,428,yes,no,unknown,5,may,50,1,-1,0,unknown,0
268,39,admin.,divorced,secondary,no,-349,yes,no,unknown,5,may,611,2,-1,0,unknown,0
275,37,admin.,married,secondary,no,190,yes,no,unknown,5,may,92,2,-1,0,unknown,0
282,41,admin.,married,secondary,no,-62,yes,yes,unknown,5,may,55,2,-1,0,unknown,0
286,33,admin.,single,secondary,no,352,yes,no,unknown,5,may,225,2,-1,0,unknown,0
287,47,admin.,married,secondary,no,368,yes,no,unknown,5,may,125,2,-1,0,unknown,0
302,51,admin.,married,secondary,no,531,yes,no,unknown,5,may,267,2,-1,0,unknown,0
311,56,admin.,married,secondary,no,353,yes,no,unknown,5,may,106,2,-1,0,unknown,0
315,33,admin.,single,tertiary,no,193,no,no,unknown,5,may,132,2,-1,0,unknown,0
