id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
141,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,0
213,59,housemaid,divorced,primary,no,195,no,no,unknown,5,may,366,2,-1,0,unknown,0
219,46,housemaid,married,primary,no,965,no,no,unknown,5,may,177,1,-1,0,unknown,0
401,42,housemaid,married,primary,no,17,yes,no,unknown,6,may,124,1,-1,0,unknown,0
472,39,housemaid,single,primary,no,109,yes,no,unknown,6,may,699,3,-1,0,unknown,0
532,31,housemaid,married,primary,no,203,yes,no,unknown,6,may,604,3,-1,0,unknown,0
756,38,housemaid,married,secondary,no,0,yes,no,unknown,6,may,59,3,-1,0,unknown,0
758,55,housemaid,divorced,tertiary,no,6920,yes,no,unknown,6,may,406,3,-1,0,unknown,0
883,33,housemaid,married,tertiary,no,98,yes,yes,unknown,7,may,109,1,-1,0,unknown,0
1077,39,housemaid,married,secondary,no,365,yes,no,unknown,7,may,274,4,-1,0,unknown,0
1097,59,housemaid,divorced,unknown,no,873,yes,no,unknown,7,may,152,3,-1,0,unknown,0
1199,28,housemaid,divorced,primary,no,1,yes,no,unknown,8,may,923,1,-1,0,unknown,0
1208,44,housemaid,married,secondary,no,281,yes,no,unknown,8,may,604,1,-1,0,unknown,0
1308,49,housemaid,married,secondary,no,7317,yes,no,unknown,8,may,140,1,-1,0,unknown,0
1386,33,housemaid,married,primary,no,1713,yes,no,unknown,8,may,22,1,-1,0,unknown,0
1538,29,housemaid,single,secondary,no,718,yes,no,unknown,8,may,91,3,-1,0,unknown,0
1659,32,housemaid,married,primary,no,344,yes,no,unknown,9,may,85,2,-1,0,unknown,0
1664,31,housemaid,married,secondary,no,0,yes,no,unknown,9,may,327,2,-1,0,unknown,0
1684,40,housemaid,divorced,secondary,no,108,no,no,unknown,9,may,93,1,-1,0,unknown,0
1773,43,housemaid,married,primary,no,1342,yes,yes,unknown,9,may,46,2,-1,0,unknown,0
1900,49,housemaid,divorced,primary,no,164,yes,no,unknown,9,may,1080,5,-1,0,unknown,0
2243,48,housemaid,divorced,primary,no,26,yes,no,unknown,12,may,311,3,-1,0,unknown,0
2318,22,housemaid,single,secondary,no,650,yes,no,unknown,12,may,181,4,-1,0,unknown,0
2563,54,housemaid,married,secondary,no,42,yes,no,unknown,13,may,514,5,-1,0,unknown,0
2670,30,housemaid,single,secondary,no,49,yes,no,unknown,13,may,267,2,-1,0,unknown,0
2692,49,housemaid,divorced,primary,no,198,yes,no,unknown,13,may,205,3,-1,0,unknown,0
2768,52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown,1
2848,48,housemaid,married,tertiary,no,468,yes,no,unknown,14,may,220,1,-1,0,unknown,0
3050,49,housemaid,single,primary,no,1158,yes,no,unknown,14,may,159,3,-1,0,unknown,0
3062,40,housemaid,divorced,primary,no,2610,yes,no,unknown,14,may,301,3,-1,0,unknown,0
3098,51,housemaid,married,primary,no,289,no,no,unknown,14,may,97,5,-1,0,unknown,0
