id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,0
6,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,0
7,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,0
22,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,0
27,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,0
29,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,0
32,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,0
35,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,0
42,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,0
50,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,0
52,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,0
53,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,0
57,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,0
66,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,0
68,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,0
73,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,0
89,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,0
91,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,0
96,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,0
100,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,0
110,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,0
118,33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,0
119,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,0
131,55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,0
153,40,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,0
154,39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,0
167,52,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,0
180,51,management,married,secondary,no,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,0
188,54,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,0
190,31,management,single,tertiary,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,0
192,33,management,married,tertiary,no,377,yes,no,unknown,5,may,217,1,-1,0,unknown,0
193,55,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,0
199,43,management,married,tertiary,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,0
207,41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,0
208,41,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,0
220,39,management,married,tertiary,no,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,0
227,58,management,married,unknown,no,1065,yes,no,unknown,5,may,213,3,-1,0,unknown,0
228,33,management,single,tertiary,no,34,yes,no,unknown,5,may,27,1,-1,0,unknown,0
245,49,management,married,tertiary,no,3237,yes,no,unknown,5,may,232,3,-1,0,unknown,0
246,42,management,married,unknown,no,275,no,no,unknown,5,may,408,2,-1,0,unknown,0
248,40,management,married,tertiary,no,207,yes,no,unknown,5,may,39,1,-1,0,unknown,0
255,50,management,single,tertiary,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,0
262,34,management,single,tertiary,no,318,yes,no,unknown,5,may,113,2,-1,0,unknown,0
264,42,management,divorced,tertiary,no,742,yes,no,unknown,5,may,58,3,-1,0,unknown,0
267,37,management,single,tertiary,no,600,yes,no,unknown,5,may,152,1,-1,0,unknown,0
271,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,1
291,37,management,married,tertiary,no,58,yes,no,unknown,5,may,98,2,-1,0,unknown,0
294,54,management,married,tertiary,no,0,no,no,unknown,5,may,120,2,-1,0,unknown,0
307,54,management,married,tertiary,no,313,yes,no,unknown,5,may,83,2,-1,0,unknown,0
310,43,management,married,unknown,no,0,yes,no,unknown,5,may,105,2,-1,0,unknown,0
323,48,management,married,secondary,no,161,yes,no,unknown,5,may,224,3,-1,0,unknown,0
326,55,management,single,tertiary,no,115,no,no,unknown,5,may,111,4,-1,0,unknown,0
334,58,management,single,tertiary,no,1387,yes,no,unknown,5,may,174,5,-1,0,unknown,0
335,45,management,divorced,tertiary,no,24598,yes,no,unknown,5,may,313,3,-1,0,unknown,0
342,43,management,divorced,secondary,no,693,yes,no,unknown,5,may,124,3,-1,0,unknown,0
345,34,management,married,tertiary,no,46,yes,no,unknown,5,may,39,4,-1,0,unknown,0
350,55,management,married,tertiary,no,685,yes,no,unknown,5,may,174,3,-1,0,unknown,0
351,46,management,single,tertiary,no,187,yes,no,unknown,5,may,113,2,-1,0,unknown,0
361,48,management,married,tertiary,no,263,yes,no,unknown,5,may,350,2,-1,0,unknown,0
368,43,management,divorced,tertiary,no,1,yes,no,unknown,6,may,306,1,-1,0,unknown,0
379,33,management,married,tertiary,no,0,yes,no,unknown,6,may,290,1,-1,0,unknown,0
383,40,management,married,secondary,no,8486,no,no,unknown,6,may,260,3,-1,0,unknown,0
389,56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,1
406,50,management,married,tertiary,no,0,no,no,unknown,6,may,326,1,-1,0,unknown,0
421,49,management,single,tertiary,no,163,yes,no,unknown,6,may,496,3,-1,0,unknown,0
422,32,management,single,tertiary,no,151,yes,no,unknown,6,may,118,1,-1,0,unknown,0
426,43,management,married,secondary,no,375,yes,no,unknown,6,may,196,2,-1,0,unknown,0
432,42,management,married,tertiary,no,1680,yes,no,unknown,6,may,765,1,-1,0,unknown,0
