id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
9,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,0
16,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,0
19,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,0
25,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,0
44,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,0
45,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,0
67,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,0
90,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,0
98,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,0
109,59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,0
115,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,0
158,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,0
174,35,retired,single,primary,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,0
186,58,retired,married,primary,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,0
191,51,retired,married,secondary,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,0
210,42,retired,married,secondary,no,56,yes,no,unknown,5,may,215,1,-1,0,unknown,0
212,53,retired,married,secondary,no,330,yes,no,unknown,5,may,216,2,-1,0,unknown,0
224,55,retired,married,secondary,no,0,no,yes,unknown,5,may,136,1,-1,0,unknown,0
276,59,retired,married,secondary,no,319,yes,no,unknown,5,may,143,3,-1,0,unknown,0
303,57,retired,married,secondary,no,211,yes,no,unknown,5,may,248,2,-1,0,unknown,0
319,40,retired,single,primary,no,0,no,no,unknown,5,may,136,2,-1,0,unknown,0
391,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,1
407,58,retired,married,tertiary,no,0,no,no,unknown,6,may,393,1,-1,0,unknown,0
466,57,retired,single,secondary,no,1640,no,yes,unknown,6,may,204,4,-1,0,unknown,0
507,57,retired,divorced,secondary,no,-331,yes,no,unknown,6,may,531,1,-1,0,unknown,0
509,60,retired,married,secondary,yes,15,no,no,unknown,6,may,80,1,-1,0,unknown,0
511,58,retired,married,secondary,no,5435,yes,no,unknown,6,may,118,1,-1,0,unknown,0
525,53,retired,married,primary,no,136,yes,no,unknown,6,may,267,2,-1,0,unknown,0
576,61,retired,married,secondary,no,195,yes,yes,unknown,6,may,179,1,-1,0,unknown,0
594,48,retired,married,secondary,no,74,no,yes,unknown,6,may,315,1,-1,0,unknown,0
624,59,retired,married,primary,no,-119,yes,no,unknown,6,may,289,1,-1,0,unknown,0
714,56,retired,divorced,primary,no,4,yes,no,unknown,6,may,31,3,-1,0,unknown,0
717,53,retired,married,secondary,no,303,yes,no,unknown,6,may,593,2,-1,0,unknown,0
726,60,retired,married,primary,no,364,yes,no,unknown,6,may,631,2,-1,0,unknown,0
739,55,retired,married,secondary,no,143,yes,no,unknown,6,may,42,3,-1,0,unknown,0
790,59,retired,married,secondary,no,836,yes,no,unknown,7,may,106,1,-1,0,unknown,0
793,40,retired,married,primary,no,407,yes,no,unknown,7,may,502,1,-1,0,unknown,0
800,56,retired,married,secondary,no,0,yes,no,unknown,7,may,333,4,-1,0,unknown,0
809,56,retired,single,primary,no,223,yes,no,unknown,7,may,97,1,-1,0,unknown,0
829,55,retired,married,secondary,no,102,yes,no,unknown,7,may,74,1,-1,0,unknown,0
861,33,retired,married,secondary,no,165,no,no,unknown,7,may,111,1,-1,0,unknown,0
909,44,retired,married,secondary,no,7624,no,no,unknown,7,may,126,5,-1,0,unknown,0
931,55,retired,married,primary,no,-90,yes,yes,unknown,7,may,634,2,-1,0,unknown,0
958,57,retired,married,secondary,no,502,yes,no,unknown,7,may,229,3,-1,0,unknown,0
962,57,retired,married,tertiary,no,906,yes,no,unknown,7,may,117,1,-1,0,unknown,0
974,58,retired,married,secondary,no,268,yes,no,unknown,7,may,516,1,-1,0,unknown,0
977,60,retired,married,secondary,no,42,yes,yes,unknown,7,may,386,2,-1,0,unknown,0
1116,59,retired,divorced,primary,no,137,yes,yes,unknown,7,may,66,3,-1,0,unknown,0
1121,57,retired,divorced,secondary,no,8266,yes,no,unknown,7,may,71,1,-1,0,unknown,0
1159,59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,unknown,0
1188,57,retired,married,primary,no,207,yes,no,unknown,8,may,193,1,-1,0,unknown,0
1227,51,retired,married,secondary,no,226,yes,yes,unknown,8,may,418,1,-1,0,unknown,0
1252,58,retired,married,tertiary,no,44,yes,no,unknown,8,may,12,2,-1,0,unknown,0
1261,60,retired,married,primary,no,-2,yes,no,unknown,8,may,75,1,-1,0,unknown,0
1380,60,retired,married,primary,no,414,no,no,unknown,8,may,395,1,-1,0,unknown,0
1389,59,retired,divorced,tertiary,no,381,yes,no,unknown,8,may,422,4,-1,0,unknown,0
1464,42,retired,married,primary,no,0,yes,no,unknown,8,may,186,2,-1,0,unknown,0
1542,59,retired,divorced,primary,no,-138,yes,yes,unknown,8,may,89,4,-1,0,unknown,0
1703,40,retired,married,tertiary,no,794,no,no,unknown,9,may,138,1,-1,0,unknown,0
1715,54,retired,married,secondary,no,785,yes,no,unknown,9,may,86,2,-1,0,unknown,0
1805,39,retired,single,primary,no,-79,no,no,unknown,9,may,180,1,-1,0,unknown,0
1845,58,retired,divorced,primary,no,47,yes,no,unknown,9,may,225,1,-1,0,unknown,0
2066,55,retired,married,secondary,no,18722,yes,no,unknown,12,may,128,2,-1,0,unknown,0
2076,59,retired,divorced,primary,no,121,yes,no,unknown,12,may,144,7,-1,0,unknown,0
2120,60,retired,married,secondary,no,78,yes,no,unknown,12,may,113,3,-1,0,unknown,0
2144,54,retired,married,primary,no,208,no,no,unknown,12,may,255,1,-1,0,unknown,0
2152,59,retired,married,secondary,no,434,yes,no,unknown,12,may,63,3,-1,0,unknown,0
2192,56,retired,married,primary,no,13,yes,no,unknown,12,may,123,2,-1,0,unknown,0
2389,54,retired,divorced,tertiary,no,0,no,no,unknown,13,may,618,1,-1,0,unknown,1
2398,47,retired,married,primary,yes,-13,no,no,unknown,13,may,295,1,-1,0,unknown,0
2408,59,retired,divorced,unknown,no,-49,yes,no,unknown,13,may,248,2,-1,0,unknown,0
2436,61,retired,married,primary,no,1060,yes,no,unknown,13,may,118,1,-1,0,unknown,0
2450,49,retired,married,primary,no,2665,yes,no,unknown,13,may,67,1,-1,0,unknown,0
2451,59,retired,married,secondary,no,1875,yes,no,unknown,13,may,77,1,-1,0,unknown,0
2457,59,retired,married,primary,no,5521,yes,yes,unknown,13,may,94,1,-1,0,unknown,0
2465,59,retired,married,secondary,no,3382,yes,no,unknown,13,may,806,1,-1,0,unknown,0
2472,59,retired,married,secondary,no,2376,no,no,unknown,13,may,766,1,-1,0,unknown,0
2489,54,retired,married,primary,no,0,yes,no,unknown,13,may,106,1,-1,0,unknown,0
2505,59,retired,married,tertiary,no,-892,yes,no,unknown,13,may,129,1,-1,0,unknown,0
2519,56,retired,married,secondary,no,296,yes,no,unknown,13,may,128,1,-1,0,unknown,0
2529,53,retired,married,secondary,no,-27,no,no,unknown,13,may,209,9,-1,0,unknown,0
2536,53,retired,married,tertiary,no,1691,no,no,unknown,13,may,916,2,-1,0,unknown,0
2540,53,retired,single,secondary,no,1421,yes,no,unknown,13,may,225,2,-1,0,unknown,0
2547,57,retired,married,tertiary,no,3571,no,no,unknown,13,may,708,2,-1,0,unknown,0
2572,55,retired,married,secondary,no,708,yes,no,unknown,13,may,901,2,-1,0,unknown,0
2606,59,retired,divorced,primary,no,643,yes,no,unknown,13,may,354,2,-1,0,unknown,0
2638,60,retired,married,tertiary,no,0,yes,no,unknown,13,may,34,4,-1,0,unknown,0
2639,58,retired,married,primary,no,193,yes,yes,unknown,13,may,788,3,-1,0,unknown,0
2649,60,retired,married,secondary,no,1390,no,yes,unknown,13,may,58,2,-1,0,unknown,0
2675,59,retired,divorced,tertiary,no,559,yes,no,unknown,13,may,168,2,-1,0,unknown,0
2677,60,retired,married,secondary,no,926,yes,no,unknown,13,may,291,2,-1,0,unknown,0
2681,54,retired,married,secondary,no,2626,no,no,unknown,13,may,151,2,-1,0,unknown,0
2685,55,retired,married,secondary,no,493,yes,no,unknown,13,may,647,7,-1,0,unknown,0
2686,53,retired,divorced,tertiary,no,599,yes,no,unknown,13,may,322,3,-1,0,unknown,0
2711,57,retired,divorced,primary,no,515,yes,no,unknown,13,may,288,2,-1,0,unknown,0
2746,55,retired,married,secondary,no,188,no,no,unknown,14,may,139,2,-1,0,unknown,0
2751,46,retired,married,primary,no,1374,no,yes,unknown,14,may,22,3,-1,0,unknown,0
2807,59,retired,divorced,primary,no,1534,yes,no,unknown,14,may,278,1,-1,0,unknown,0
2834,60,retired,divorced,primary,no,1327,yes,yes,unknown,14,may,80,1,-1,0,unknown,0
2836,58,retired,married,secondary,no,-172,yes,no,unknown,14,may,300,1,-1,0,unknown,0
2846,59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,2,-1,0,unknown,1
2847,59,retired,married,secondary,no,2516,yes,yes,unknown,14,may,282,1,-1,0,unknown,0
2889,53,retired,married,primary,no,383,yes,no,unknown,14,may,171,1,-1,0,unknown,0
2903,54,retired,married,secondary,no,918,yes,no,unknown,14,may,189,1,-1,0,unknown,0
2905,57,retired,divorced,primary,no,2439,yes,no,unknown,14,may,32,1,-1,0,unknown,0
2930,60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown,1
2945,60,retired,married,secondary,no,3932,yes,no,unknown,14,may,407,2,-1,0,unknown,0
2952,57,retired,married,tertiary,no,1180,yes,yes,unknown,14,may,191,2,-1,0,unknown,0
2961,57,retired,married,secondary,no,-222,no,no,unknown,14,may,248,2,-1,0,unknown,0
2991,57,retired,married,secondary,no,3545,yes,no,unknown,14,may,138,2,-1,0,unknown,0
2993,61,retired,married,secondary,no,4248,yes,no,unknown,14,may,71,1,-1,0,unknown,0
3063,49,retired,married,secondary,no,329,yes,no,unknown,14,may,264,2,-1,0,unknown,0
3074,60,retired,married,secondary,no,2077,yes,no,unknown,14,may,163,1,-1,0,unknown,0
3130,59,retired,married,secondary,no,5678,yes,no,unknown,14,may,238,2,-1,0,unknown,0
3147,57,retired,married,primary,no,3401,yes,no,unknown,14,may,271,2,-1,0,unknown,0
3176,43,retired,married,primary,no,471,no,yes,unknown,15,may,114,2,-1,0,unknown,0
3209,51,retired,married,secondary,no,0,no,no,unknown,15,may,70,1,-1,0,unknown,0
3211,60,retired,married,secondary,no,2537,yes,yes,unknown,15,may,230,1,-1,0,unknown,0
3216,53,retired,married,tertiary,no,183,yes,no,unknown,15,may,73,1,-1,0,unknown,0
3220,43,retired,married,secondary,no,56,yes,yes,unknown,15,may,259,1,-1,0,unknown,0
3222,56,retired,married,secondary,no,1894,yes,no,unknown,15,may,189,1,-1,0,unknown,0
3241,60,retired,divorced,secondary,no,2479,yes,yes,unknown,15,may,157,1,-1,0,unknown,0
3247,60,retired,married,secondary,no,2086,yes,no,unknown,15,may,182,2,-1,0,unknown,0
3281,57,retired,married,primary,no,3123,yes,no,unknown,15,may,178,1,-1,0,unknown,0
3290,57,retired,divorced,tertiary,no,2516,yes,no,unknown,15,may,1036,1,-1,0,unknown,0
3311,56,retired,married,secondary,no,1678,yes,no,unknown,15,may,79,1,-1,0,unknown,0
3316,56,retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,0
3322,58,retired,married,tertiary,no,2577,yes,yes,unknown,15,may,290,3,-1,0,unknown,0
3336,60,retired,married,tertiary,no,1224,yes,no,unknown,15,may,120,1,-1,0,unknown,0
3343,60,retired,married,secondary,no,0,yes,no,unknown,15,may,229,1,-1,0,unknown,0
3344,60,retired,married,secondary,no,-208,yes,no,unknown,15,may,104,1,-1,0,unknown,0
3364,57,retired,married,secondary,no,703,yes,no,unknown,15,may,405,2,-1,0,unknown,0
