id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,0
85,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,0
113,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,0
142,34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,0
202,48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,0
280,36,self-employed,married,tertiary,no,19,no,no,unknown,5,may,189,2,-1,0,unknown,0
290,40,self-employed,married,secondary,no,672,yes,no,unknown,5,may,164,2,-1,0,unknown,0
403,29,self-employed,single,tertiary,no,16,yes,no,unknown,6,may,43,1,-1,0,unknown,0
444,24,self-employed,single,secondary,no,0,yes,no,unknown,6,may,278,1,-1,0,unknown,0
448,50,self-employed,married,unknown,no,-84,yes,no,unknown,6,may,101,1,-1,0,unknown,0
470,44,self-employed,married,tertiary,no,292,yes,no,unknown,6,may,162,1,-1,0,unknown,0
549,36,self-employed,married,tertiary,no,107,yes,no,unknown,6,may,146,1,-1,0,unknown,0
554,47,self-employed,married,unknown,no,935,yes,no,unknown,6,may,225,1,-1,0,unknown,0
600,31,self-employed,married,secondary,no,0,yes,no,unknown,6,may,36,5,-1,0,unknown,0
609,43,self-employed,married,secondary,no,918,yes,no,unknown,6,may,193,1,-1,0,unknown,0
653,44,self-employed,divorced,tertiary,no,4,yes,no,unknown,6,may,312,3,-1,0,unknown,0
669,60,self-employed,married,primary,no,46,yes,no,unknown,6,may,202,4,-1,0,unknown,0
673,49,self-employed,married,secondary,no,1,yes,no,unknown,6,may,260,3,-1,0,unknown,0
747,56,self-employed,married,unknown,no,7,no,no,unknown,6,may,305,2,-1,0,unknown,0
764,30,self-employed,single,tertiary,no,800,no,no,unknown,6,may,95,2,-1,0,unknown,0
795,46,self-employed,married,tertiary,no,2303,yes,no,unknown,7,may,241,1,-1,0,unknown,0
812,45,self-employed,divorced,secondary,no,-139,yes,no,unknown,7,may,152,3,-1,0,unknown,0
870,52,self-employed,married,secondary,no,273,no,no,unknown,7,may,227,1,-1,0,unknown,0
910,43,self-employed,married,primary,no,66,yes,no,unknown,7,may,175,5,-1,0,unknown,0
915,57,self-employed,married,primary,no,1013,yes,no,unknown,7,may,448,1,-1,0,unknown,0
923,37,self-employed,married,tertiary,no,444,yes,no,unknown,7,may,401,2,-1,0,unknown,0
1081,37,self-employed,married,primary,no,0,no,no,unknown,7,may,112,4,-1,0,unknown,0
1163,31,self-employed,single,tertiary,no,120,yes,no,unknown,8,may,239,2,-1,0,unknown,0
1186,35,self-employed,married,primary,no,1094,yes,no,unknown,8,may,207,1,-1,0,unknown,0
1235,31,self-employed,married,tertiary,no,322,yes,no,unknown,8,may,159,1,-1,0,unknown,0
1258,35,self-employed,married,tertiary,no,844,yes,no,unknown,8,may,60,1,-1,0,unknown,0
1275,30,self-employed,married,secondary,no,131,yes,no,unknown,8,may,306,1,-1,0,unknown,0
1368,28,self-employed,married,tertiary,no,120,yes,yes,unknown,8,may,130,3,-1,0,unknown,0
1441,36,self-employed,married,primary,no,90,yes,no,unknown,8,may,403,2,-1,0,unknown,0
1446,58,self-employed,divorced,secondary,no,613,yes,no,unknown,8,may,154,2,-1,0,unknown,0
1503,35,self-employed,single,tertiary,no,538,yes,yes,unknown,8,may,21,9,-1,0,unknown,0
1555,42,self-employed,married,secondary,no,106,yes,no,unknown,8,may,515,3,-1,0,unknown,0
1563,53,self-employed,married,secondary,no,468,yes,no,unknown,8,may,89,5,-1,0,unknown,0
1621,52,self-employed,single,tertiary,no,458,yes,yes,unknown,9,may,132,5,-1,0,unknown,0
1708,49,self-employed,married,tertiary,no,1842,yes,no,unknown,9,may,124,2,-1,0,unknown,0
1730,32,self-employed,single,secondary,no,123,yes,no,unknown,9,may,278,1,-1,0,unknown,0
1750,27,self-employed,single,secondary,no,78,yes,no,unknown,9,may,825,1,-1,0,unknown,0
1826,29,self-employed,single,tertiary,no,5406,no,no,unknown,9,may,530,2,-1,0,unknown,0
1897,57,self-employed,married,tertiary,yes,-3313,yes,yes,unknown,9,may,153,1,-1,0,unknown,0
1904,27,self-employed,single,tertiary,no,-503,yes,no,unknown,9,may,98,3,-1,0,unknown,0
1978,38,self-employed,married,secondary,no,138,no,no,unknown,9,may,182,3,-1,0,unknown,0
1990,32,self-employed,married,tertiary,no,312,yes,no,unknown,9,may,262,2,-1,0,unknown,0
1999,35,self-employed,married,secondary,no,351,yes,no,unknown,9,may,298,2,-1,0,unknown,0
2008,28,self-employed,single,secondary,no,123,yes,no,unknown,9,may,97,1,-1,0,unknown,0
2045,46,self-employed,married,tertiary,no,-80,yes,no,unknown,12,may,112,2,-1,0,unknown,0
2087,35,self-employed,married,tertiary,no,247,yes,no,unknown,12,may,167,2,-1,0,unknown,0
2124,43,self-employed,single,secondary,no,798,yes,no,unknown,12,may,217,1,-1,0,unknown,0
2131,41,self-employed,married,secondary,no,304,yes,no,unknown,12,may,1147,2,-1,0,unknown,0
2250,33,self-employed,married,primary,no,1862,yes,no,unknown,12,may,65,1,-1,0,unknown,0
2265,47,self-employed,divorced,secondary,no,218,yes,no,unknown,12,may,58,7,-1,0,unknown,0
2312,30,self-employed,married,tertiary,no,227,yes,yes,unknown,12,may,227,3,-1,0,unknown,0
2422,29,self-employed,single,tertiary,no,-114,yes,no,unknown,13,may,174,1,-1,0,unknown,0
2439,31,self-employed,married,secondary,no,263,yes,no,unknown,13,may,150,2,-1,0,unknown,0
2446,49,self-employed,married,tertiary,no,2199,yes,no,unknown,13,may,98,1,-1,0,unknown,0
2469,40,self-employed,married,primary,no,92,yes,no,unknown,13,may,92,1,-1,0,unknown,0
2525,42,self-employed,married,tertiary,no,5,yes,no,unknown,13,may,853,1,-1,0,unknown,0
2533,56,self-employed,married,secondary,no,123,no,no,unknown,13,may,81,1,-1,0,unknown,0
2565,49,self-employed,married,secondary,no,358,yes,yes,unknown,13,may,176,3,-1,0,unknown,0
2673,44,self-employed,married,secondary,no,264,yes,no,unknown,13,may,198,2,-1,0,unknown,0
2683,59,self-employed,married,tertiary,no,593,no,no,unknown,13,may,64,2,-1,0,unknown,0
2778,56,self-employed,married,tertiary,no,871,yes,no,unknown,14,may,381,1,-1,0,unknown,0
2862,40,self-employed,married,primary,no,771,yes,no,unknown,14,may,166,1,-1,0,unknown,0
2909,42,self-employed,married,primary,no,3641,yes,no,unknown,14,may,869,1,-1,0,unknown,0
2947,44,self-employed,divorced,secondary,no,80,yes,yes,unknown,14,may,387,2,-1,0,unknown,0
2958,55,self-employed,single,secondary,no,2607,yes,no,unknown,14,may,38,1,-1,0,unknown,0
2981,47,self-employed,married,tertiary,no,4543,yes,no,unknown,14,may,162,1,-1,0,unknown,0
3041,34,self-employed,single,tertiary,no,2800,yes,no,unknown,14,may,668,1,-1,0,unknown,0
3076,49,self-employed,single,tertiary,no,21,yes,no,unknown,14,may,248,1,-1,0,unknown,0
3148,46,self-employed,married,secondary,no,0,yes,yes,unknown,14,may,166,5,-1,0,unknown,0
3164,40,self-employed,married,primary,no,422,yes,no,unknown,14,may,187,3,-1,0,unknown,0
3226,43,self-employed,single,unknown,no,3173,no,no,unknown,15,may,746,1,-1,0,unknown,1
3240,41,self-employed,married,secondary,no,149,yes,no,unknown,15,may,27,1,-1,0,unknown,0
