id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
15,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,0
20,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,0
24,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,0
41,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,0
60,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,0
64,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,0
72,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,0
78,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,0
79,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,0
80,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,0
82,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,0
111,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,0
124,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,0
128,34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,0
130,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,1
138,43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,0
146,33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,0
149,43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,0
156,41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,0
161,48,services,married,unknown,no,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,0
163,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,0
172,44,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,0
179,54,services,married,secondary,no,214,yes,no,unknown,5,may,458,2,-1,0,unknown,0
181,31,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,0
183,35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,0
187,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,0
197,38,services,married,secondary,no,155,yes,no,unknown,5,may,248,1,-1,0,unknown,0
205,35,services,married,secondary,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,0
206,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,0
209,39,services,single,unknown,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,0
214,36,services,married,secondary,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,0
230,53,services,divorced,secondary,no,1467,yes,no,unknown,5,may,124,1,-1,0,unknown,0
232,31,services,married,secondary,no,388,yes,no,unknown,5,may,730,2,-1,0,unknown,0
250,51,services,married,secondary,no,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,0
253,34,services,single,secondary,no,0,yes,no,unknown,5,may,142,1,-1,0,unknown,0
259,36,services,married,secondary,no,143,yes,yes,unknown,5,may,350,1,-1,0,unknown,0
277,39,services,divorced,secondary,no,-185,yes,no,unknown,5,may,189,3,-1,0,unknown,0
278,49,services,married,secondary,no,47,no,no,unknown,5,may,234,2,-1,0,unknown,0
279,38,services,single,secondary,no,570,yes,no,unknown,5,may,75,2,-1,0,unknown,0
304,36,services,single,secondary,no,62,yes,no,unknown,5,may,215,2,-1,0,unknown,0
