id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
152,26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,0
204,35,student,single,unknown,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,0
266,30,student,single,tertiary,no,25,yes,no,unknown,5,may,89,2,-1,0,unknown,0
293,24,student,single,secondary,no,423,yes,no,unknown,5,may,226,3,-1,0,unknown,0
298,24,student,single,secondary,no,82,yes,no,unknown,5,may,204,2,-1,0,unknown,0
370,23,student,single,secondary,no,157,yes,no,unknown,6,may,54,1,-1,0,unknown,0
553,30,student,single,tertiary,no,34,yes,no,unknown,6,may,289,1,-1,0,unknown,0
648,31,student,single,secondary,no,252,yes,no,unknown,6,may,175,3,-1,0,unknown,0
651,29,student,single,secondary,no,209,yes,no,unknown,6,may,311,2,-1,0,unknown,0
691,29,student,single,secondary,no,948,yes,no,unknown,6,may,75,2,-1,0,unknown,0
769,29,student,single,secondary,no,110,yes,no,unknown,7,may,169,3,-1,0,unknown,0
789,29,student,single,tertiary,no,185,yes,no,unknown,7,may,141,3,-1,0,unknown,0
891,29,student,single,secondary,no,872,yes,no,unknown,7,may,230,1,-1,0,unknown,0
1053,27,student,single,secondary,no,671,yes,no,unknown,7,may,332,2,-1,0,unknown,0
1226,27,student,single,secondary,no,81,yes,no,unknown,8,may,238,1,-1,0,unknown,0
1289,26,student,single,secondary,no,85,yes,no,unknown,8,may,278,2,-1,0,unknown,0
1339,27,student,single,secondary,no,217,yes,no,unknown,8,may,319,1,-1,0,unknown,0
1375,26,student,single,tertiary,no,37,yes,no,unknown,8,may,108,1,-1,0,unknown,0
1402,26,student,single,unknown,no,-41,yes,no,unknown,8,may,229,2,-1,0,unknown,0
1512,27,student,single,secondary,no,0,no,no,unknown,8,may,93,2,-1,0,unknown,0
1719,22,student,single,secondary,no,2412,yes,no,unknown,9,may,238,2,-1,0,unknown,0
1758,23,student,single,secondary,no,318,yes,no,unknown,9,may,545,2,-1,0,unknown,0
1813,27,student,married,tertiary,no,659,yes,no,unknown,9,may,111,2,-1,0,unknown,0
1825,23,student,single,secondary,no,151,yes,no,unknown,9,may,97,1,-1,0,unknown,0
