id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
2,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,0
10,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,0
13,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,0
14,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,0
30,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,0
31,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,0
36,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,0
38,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,0
48,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,0
49,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,0
55,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,0
62,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,0
69,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,0
75,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,0
76,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,0
83,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,0
88,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,1
92,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,0
99,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,0
105,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,0
107,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,0
112,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,0
120,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,0
121,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,0
125,52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,0
126,33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,0
133,38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,0
137,32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,0
155,50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,0
162,39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,0
165,45,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,0
168,54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,0
178,34,technician,married,secondary,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,0
182,35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown,0
184,38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,0
198,50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,0
216,40,technician,married,tertiary,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,0
225,43,technician,divorced,unknown,no,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,0
241,46,technician,married,secondary,no,349,yes,yes,unknown,5,may,127,1,-1,0,unknown,0
244,43,technician,married,secondary,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown,0
254,33,technician,divorced,secondary,no,140,yes,no,unknown,5,may,227,1,-1,0,unknown,0
258,30,technician,single,secondary,no,2573,yes,no,unknown,5,may,67,2,-1,0,unknown,0
263,37,technician,married,secondary,no,275,yes,no,unknown,5,may,132,1,-1,0,unknown,0
273,57,technician,married,secondary,no,1078,yes,no,unknown,5,may,10,4,-1,0,unknown,0
283,54,technician,married,tertiary,no,258,no,no,unknown,5,may,310,4,-1,0,unknown,0
288,50,technician,single,tertiary,no,339,yes,no,unknown,5,may,2,3,-1,0,unknown,0
292,54,technician,single,unknown,no,447,yes,no,unknown,5,may,742,2,-1,0,unknown,0
295,34,technician,married,secondary,no,19,yes,no,unknown,5,may,362,4,-1,0,unknown,0
296,56,technician,divorced,primary,no,13,yes,no,unknown,5,may,357,2,-1,0,unknown,0
300,57,technician,married,secondary,no,792,yes,no,unknown,5,may,65,2,-1,0,unknown,0
306,50,technician,married,secondary,no,1234,yes,no,unknown,5,may,205,2,-1,0,unknown,0
312,54,technician,married,unknown,no,851,yes,no,unknown,5,may,108,2,-1,0,unknown,0
318,51,technician,single,secondary,no,0,yes,no,unknown,5,may,364,2,-1,0,unknown,0
324,32,technician,divorced,tertiary,no,2558,no,no,unknown,5,may,148,2,-1,0,unknown,0
328,47,technician,married,tertiary,no,831,yes,no,unknown,5,may,316,3,-1,0,unknown,0
329,57,technician,married,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,0
338,53,technician,married,secondary,no,56,yes,yes,unknown,5,may,152,2,-1,0,unknown,0
347,45,technician,married,secondary,no,44,yes,no,unknown,5,may,95,4,-1,0,unknown,0
366,46,technician,married,tertiary,no,841,yes,no,unknown,6,may,158,1,-1,0,unknown,0
387,57,technician,married,unknown,no,345,yes,no,unknown,6,may,125,1,-1,0,unknown,0
392,37,technician,married,tertiary,no,8730,yes,no,unknown,6,may,149,1,-1,0,unknown,0
393,46,technician,divorced,tertiary,no,477,yes,no,unknown,6,may,114,1,-1,0,unknown,0
396,32,technician,single,secondary,no,0,yes,yes,unknown,6,may,135,3,-1,0,unknown,0
402,48,technician,married,secondary,no,141,yes,yes,unknown,6,may,424,1,-1,0,unknown,0
405,52,technician,married,unknown,no,7,no,no,unknown,6,may,203,2,-1,0,unknown,0
409,38,technician,married,secondary,no,284,yes,no,unknown,6,may,483,1,-1,0,unknown,0
417,40,technician,married,secondary,no,77,no,no,unknown,6,may,505,1,-1,0,unknown,0
420,33,technician,married,secondary,yes,72,yes,no,unknown,6,may,623,1,-1,0,unknown,0
