id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
135,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,0
143,57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,0
148,48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,0
177,48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,0
218,53,unemployed,married,unknown,no,13,no,no,unknown,5,may,410,3,-1,0,unknown,0
221,40,unemployed,married,secondary,no,219,yes,no,unknown,5,may,357,1,-1,0,unknown,0
388,32,unemployed,married,secondary,no,10,yes,no,unknown,6,may,501,4,-1,0,unknown,0
418,43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,245,1,-1,0,unknown,0
464,39,unemployed,married,primary,no,408,yes,no,unknown,6,may,53,1,-1,0,unknown,0
494,55,unemployed,married,tertiary,no,5345,no,no,unknown,6,may,278,1,-1,0,unknown,0
513,55,unemployed,divorced,secondary,no,387,yes,no,unknown,6,may,918,1,-1,0,unknown,1
545,40,unemployed,single,secondary,no,11,yes,no,unknown,6,may,43,1,-1,0,unknown,0
568,46,unemployed,married,secondary,no,-125,yes,no,unknown,6,may,23,1,-1,0,unknown,0
627,35,unemployed,married,secondary,no,533,yes,no,unknown,6,may,802,1,-1,0,unknown,0
638,30,unemployed,divorced,secondary,no,1144,yes,no,unknown,6,may,252,1,-1,0,unknown,0
645,43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,37,2,-1,0,unknown,0
754,55,unemployed,married,tertiary,no,383,no,no,unknown,6,may,343,3,-1,0,unknown,0
886,29,unemployed,married,tertiary,no,8,yes,no,unknown,7,may,233,1,-1,0,unknown,0
920,37,unemployed,divorced,secondary,no,74,yes,no,unknown,7,may,150,1,-1,0,unknown,0
975,31,unemployed,married,secondary,no,-825,yes,no,unknown,7,may,179,2,-1,0,unknown,0
979,33,unemployed,single,tertiary,no,1716,yes,no,unknown,7,may,396,2,-1,0,unknown,0
986,40,unemployed,single,secondary,no,350,yes,no,unknown,7,may,287,1,-1,0,unknown,0
991,37,unemployed,divorced,primary,no,849,yes,no,unknown,7,may,166,1,-1,0,unknown,0
1156,38,unemployed,married,primary,no,447,yes,no,unknown,7,may,365,4,-1,0,unknown,0
1203,33,unemployed,single,secondary,no,233,yes,no,unknown,8,may,221,4,-1,0,unknown,0
1229,53,unemployed,married,secondary,no,582,yes,no,unknown,8,may,96,2,-1,0,unknown,0
1303,55,unemployed,single,tertiary,no,1513,yes,no,unknown,8,may,60,1,-1,0,unknown,0
1365,41,unemployed,married,primary,yes,-581,yes,no,unknown,8,may,218,2,-1,0,unknown,0
1439,39,unemployed,divorced,secondary,no,6322,no,no,unknown,8,may,184,1,-1,0,unknown,0
1485,32,unemployed,single,tertiary,no,336,yes,no,unknown,8,may,139,1,-1,0,unknown,0
1513,33,unemployed,married,secondary,no,229,yes,no,unknown,8,may,205,4,-1,0,unknown,0
1521,37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,1
1522,38,unemployed,married,primary,no,1147,yes,yes,unknown,8,may,249,5,-1,0,unknown,0
1529,32,unemployed,single,secondary,no,177,yes,no,unknown,8,may,21,3,-1,0,unknown,0
1545,33,unemployed,single,secondary,no,177,no,no,unknown,8,may,75,4,-1,0,unknown,0
1566,31,unemployed,married,primary,no,309,yes,no,unknown,8,may,104,3,-1,0,unknown,0
1588,54,unemployed,married,secondary,no,23,yes,no,unknown,8,may,27,3,-1,0,unknown,0
1662,51,unemployed,divorced,secondary,no,370,no,no,unknown,9,may,167,1,-1,0,unknown,0
