id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
5,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,0
217,47,unknown,married,unknown,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,0
355,59,unknown,divorced,unknown,no,27,no,no,unknown,5,may,347,3,-1,0,unknown,0
877,37,unknown,single,unknown,no,414,yes,no,unknown,7,may,131,1,-1,0,unknown,0
1073,29,unknown,single,primary,no,50,yes,no,unknown,7,may,50,2,-1,0,unknown,0
1293,41,unknown,single,primary,no,2398,yes,no,unknown,8,may,287,2,-1,0,unknown,0
2047,57,unknown,married,unknown,no,106,no,no,unknown,12,may,836,4,-1,0,unknown,0
2724,58,unknown,divorced,secondary,no,3111,yes,no,unknown,13,may,166,2,-1,0,unknown,0
2842,53,unknown,divorced,tertiary,no,2272,yes,no,unknown,14,may,243,1,-1,0,unknown,0
2849,25,unknown,single,unknown,no,329,yes,no,unknown,14,may,158,2,-1,0,unknown,0
3325,49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,-1,0,unknown,1
3514,55,unknown,married,unknown,no,666,no,no,unknown,15,may,73,5,-1,0,unknown,0
3986,46,unknown,married,unknown,no,300,yes,no,unknown,16,may,323,3,-1,0,unknown,0
4009,55,unknown,married,tertiary,no,0,no,no,unknown,16,may,409,3,-1,0,unknown,0
4751,38,unknown,married,unknown,no,124,yes,no,unknown,20,may,37,13,-1,0,unknown,0
5693,35,unknown,divorced,primary,no,3888,no,no,unknown,26,may,422,5,-1,0,unknown,0
5940,41,unknown,married,primary,no,526,no,no,unknown,26,may,151,3,-1,0,unknown,0
6164,37,unknown,single,secondary,no,57,yes,no,unknown,27,may,142,1,-1,0,unknown,0
6559,32,unknown,single,secondary,no,-274,no,yes,unknown,27,may,108,3,-1,0,unknown,0
6967,57,unknown,married,unknown,no,327,yes,no,unknown,28,may,74,2,-1,0,unknown,0
7182,29,unknown,single,unknown,no,209,no,no,unknown,29,may,346,6,-1,0,unknown,0
7368,41,unknown,single,secondary,no,646,yes,no,unknown,29,may,40,2,-1,0,unknown,0
8674,55,unknown,married,secondary,yes,-208,yes,no,unknown,3,jun,148,2,-1,0,unknown,0
8829,30,unknown,single,primary,no,13052,no,no,unknown,4,jun,140,1,-1,0,unknown,0
8840,43,unknown,single,primary,no,433,no,no,unknown,4,jun,45,1,-1,0,unknown,0
8966,55,unknown,married,tertiary,no,0,no,no,unknown,5,jun,38,1,-1,0,unknown,0
9003,59,unknown,married,unknown,no,3940,no,no,unknown,5,jun,48,2,-1,0,unknown,0
9009,52,unknown,married,primary,no,8251,no,no,unknown,5,jun,397,1,-1,0,unknown,0
9011,51,unknown,divorced,unknown,no,1649,no,no,unknown,5,jun,93,1,-1,0,unknown,0
9059,51,unknown,single,unknown,no,0,no,no,unknown,5,jun,409,1,-1,0,unknown,0
9094,42,unknown,single,unknown,no,1316,no,no,unknown,5,jun,285,1,-1,0,unknown,0
9110,59,unknown,married,primary,no,1470,no,no,unknown,5,jun,74,1,-1,0,unknown,0
9167,36,unknown,single,unknown,no,1070,no,no,unknown,5,jun,346,3,-1,0,unknown,0
9182,39,unknown,single,secondary,no,914,no,no,unknown,5,jun,20,1,-1,0,unknown,0
9216,37,unknown,married,primary,no,808,no,no,unknown,5,jun,228,2,-1,0,unknown,0
9236,53,unknown,married,unknown,no,1347,no,no,unknown,5,jun,92,2,-1,0,unknown,0
9325,39,unknown,married,secondary,no,1701,no,no,unknown,6,jun,140,1,-1,0,unknown,0
9339,39,unknown,single,secondary,no,0,no,no,unknown,6,jun,188,1,-1,0,unknown,0
9371,46,unknown,married,unknown,no,2505,no,no,unknown,6,jun,135,2,-1,0,unknown,0
9374,38,unknown,married,primary,no,0,no,no,unknown,6,jun,414,2,-1,0,unknown,0
9376,58,unknown,married,tertiary,no,4150,no,no,unknown,6,jun,363,1,-1,0,unknown,0
9389,56,unknown,divorced,unknown,no,2152,no,no,unknown,6,jun,67,1,-1,0,unknown,0
9401,47,unknown,married,unknown,no,750,no,no,unknown,6,jun,188,1,-1,0,unknown,0
9407,46,unknown,married,unknown,no,613,no,no,unknown,6,jun,51,1,-1,0,unknown,0
9457,35,unknown,married,unknown,no,0,no,no,unknown,6,jun,159,3,-1,0,unknown,0
9598,46,unknown,married,unknown,no,2367,no,no,unknown,6,jun,86,3,-1,0,unknown,0
9606,47,unknown,married,unknown,no,0,no,no,unknown,6,jun,466,2,-1,0,unknown,0
9641,57,unknown,married,secondary,no,2,no,no,unknown,6,jun,112,4,-1,0,unknown,0
9646,50,unknown,married,primary,no,1502,no,no,unknown,6,jun,34,2,-1,0,unknown,0
9668,59,unknown,single,secondary,no,3237,no,no,unknown,6,jun,100,3,-1,0,unknown,0
9674,58,unknown,single,secondary,no,311,no,no,unknown,6,jun,248,2,-1,0,unknown,0
9708,52,unknown,married,primary,no,547,no,no,unknown,6,jun,33,2,-1,0,unknown,0
9734,53,unknown,married,secondary,no,16,no,no,unknown,9,jun,100,1,-1,0,unknown,0
9895,37,unknown,married,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,0
10147,51,unknown,married,unknown,no,12,no,no,unknown,11,jun,45,1,-1,0,unknown,0
10153,56,unknown,divorced,primary,no,558,no,no,unknown,11,jun,119,1,-1,0,unknown,0
10157,45,unknown,married,primary,no,44,no,no,unknown,11,jun,81,1,-1,0,unknown,0
10169,58,unknown,married,unknown,no,0,no,no,unknown,11,jun,464,2,-1,0,unknown,0
10208,41,unknown,single,unknown,no,1259,no,no,unknown,11,jun,177,8,-1,0,unknown,0
10221,45,unknown,married,unknown,no,360,no,no,unknown,11,jun,157,9,-1,0,unknown,0
10225,46,unknown,married,primary,no,285,no,no,unknown,11,jun,215,2,-1,0,unknown,0
10283,49,unknown,married,primary,no,142,no,no,unknown,12,jun,90,3,-1,0,unknown,0
10344,50,unknown,single,unknown,no,490,no,no,unknown,12,jun,189,1,-1,0,unknown,0
10362,42,unknown,single,secondary,no,1456,no,no,unknown,12,jun,56,1,-1,0,unknown,0
10395,52,unknown,married,unknown,no,1317,no,no,unknown,12,jun,58,1,-1,0,unknown,0
10636,48,unknown,married,unknown,no,3940,no,no,unknown,16,jun,298,6,-1,0,unknown,0
10739,54,unknown,married,secondary,no,1241,no,no,unknown,16,jun,97,6,-1,0,unknown,0
10837,46,unknown,married,tertiary,no,5837,no,no,unknown,17,jun,71,1,-1,0,unknown,0
